iter	MAE
0	0.5244314412
5	0.5132266751
10	0.50253179
15	0.492124125
20	0.4820992534
25	0.472501745
30	0.463251268
35	0.4542221091
40	0.4457742928
45	0.4373261017
50	0.429350468
55	0.4216280415
60	0.4141943654
65	0.4070451295
70	0.4002975832
75	0.3937522402
80	0.3875236638
85	0.3816073564
90	0.3760611617
95	0.3708206771
100	0.365773838
105	0.3610621306
110	0.356440968
115	0.3521491902
120	0.3479365885
125	0.3439194437
130	0.3402393983
135	0.3366728229
140	0.3333799124
145	0.3303070705
150	0.3273105938
155	0.3243935741
160	0.3216404972
165	0.3190681666
170	0.3166458175
175	0.3144138657
180	0.3121738244
185	0.3100959145
190	0.3082150232
195	0.3063580565
200	0.3046096563
205	0.3028469824
210	0.3012709891
215	0.2996848763
220	0.2981881215
225	0.2967161033
230	0.295326447
235	0.2940035358
240	0.2926550135
245	0.2914694658
250	0.2902843865
255	0.2891083024
260	0.2880260115
265	0.2869669267
270	0.2859216783
275	0.2849572612
280	0.2840189863
285	0.2831096644
290	0.282295635
295	0.2814628344
300	0.2806451194
305	0.2799121087
310	0.2791845325
315	0.2784795067
320	0.2778238918
325	0.2771794271
330	0.2765323387
335	0.2758961508
340	0.27533233
345	0.2747486138
350	0.2741791711
355	0.2736081042
360	0.2730441273
365	0.2725551724
370	0.2720623134
375	0.2715839465
380	0.2710381161
385	0.2705611235
390	0.2700920328
395	0.2696458361
400	0.2692113206
405	0.2687900792
410	0.2683490671
415	0.2679202985
420	0.2675523096
425	0.2671526815
430	0.2667952181
435	0.2664124559
440	0.2660171068
445	0.265662267
450	0.2653157352
455	0.264963238
460	0.2646190799
465	0.2642278223
470	0.2638965011
475	0.2635529677
480	0.2632389809
485	0.2629290544
490	0.2626352754
495	0.2623109817
500	0.2620423454
505	0.2617470829
510	0.2614494778
515	0.26114319
520	0.2608516598
525	0.2605735599
530	0.2602993953
535	0.2599966368
540	0.2596825095
545	0.2593936497
550	0.2591311195
555	0.2588634358
560	0.258595268
565	0.2583329877
570	0.2580668969
575	0.2577890312
580	0.2575304832
585	0.257261722
590	0.2570201336
595	0.2567837143
600	0.2565559622
605	0.2562879975
610	0.2560880116
615	0.2558398799
620	0.2556197175
625	0.2553974468
630	0.255168461
635	0.2549301052
640	0.2546957317
645	0.2544893587
650	0.2543007729
655	0.2541179029
660	0.2538953979
665	0.2537260206
670	0.2535282992
675	0.2533534872
680	0.2531517836
685	0.2529616362
690	0.2527564188
695	0.2525509047
700	0.2523866496
705	0.2521884128
710	0.2520088066
715	0.251822376
720	0.2516479701
725	0.2514596811
730	0.2512907254
735	0.2511292812
740	0.2509609814
745	0.2507619326
750	0.250575705
755	0.2504237245
760	0.2502518641
765	0.250085735
770	0.2498914024
775	0.2497397654
780	0.2495731054
785	0.2494057269
790	0.2492399726
795	0.249039003
800	0.2488630198
805	0.2486983274
810	0.2485456286
815	0.2483861053
820	0.2482249891
825	0.248083175
830	0.2479315693
835	0.2477670331
840	0.2475719196
845	0.2474078831
850	0.2472464078
855	0.2471056088
860	0.2469406665
865	0.2467697587
870	0.2466184342
875	0.2464602539
880	0.2463226094
885	0.2461547937
890	0.2460052182
895	0.2458474752
900	0.2457262281
905	0.2455611609
910	0.2454136624
915	0.2452864029
920	0.2451173379
925	0.2449963251
930	0.2448364895
935	0.2446852586
940	0.2445634962
945	0.2444044882
950	0.2442383747
955	0.2440798665
960	0.2438971058
965	0.2437471554
970	0.2436031394
975	0.2434153189
980	0.2432917449
985	0.2431612372
990	0.2430178303
995	0.242869504
1000	0.2427175079
1005	0.2425622324
1010	0.2424410477
1015	0.2422930183
1020	0.2421343226
1025	0.2419771575
1030	0.2418434327
1035	0.2416962465
1040	0.2415760458
1045	0.2414152263
1050	0.2412603724
1055	0.2411313795
1060	0.2410053537
1065	0.2408662413
1070	0.2407090605
1075	0.2405696201
1080	0.2404578679
1085	0.2403174437
1090	0.2401557497
1095	0.2400527116
1100	0.2399517504
1105	0.2398530693
1110	0.2397242013
1115	0.2396174152
1120	0.2394953248
1125	0.2393575242
1130	0.2392548608
1135	0.2391646751
1140	0.2390405234
1145	0.2389129672
1150	0.2387881439
1155	0.2386626179
1160	0.2385704021
1165	0.2384527624
1170	0.2383290948
1175	0.2382530421
1180	0.238147396
1185	0.2380418748
1190	0.2379626051
1195	0.2378784473
1200	0.2377636811
1205	0.2376616268
1210	0.2375483598
1215	0.2374595952
1220	0.2373898048
1225	0.2373103008
1230	0.2372377306
1235	0.237140533
1240	0.2370677598
1245	0.2370179429
1250	0.2369280539
1255	0.2368492683
1260	0.2367626744
1265	0.2366768301
1270	0.2365886902
1275	0.2364614776
1280	0.2363599543
1285	0.2362678633
1290	0.2361699162
1295	0.2360504182
1300	0.2359688216
1305	0.2358892083
1310	0.2358310366
1315	0.2357863732
1320	0.2357506581
1325	0.2357014971
1330	0.2356545537
1335	0.2355779856
1340	0.2354878155
1345	0.2354045167
1350	0.2353364753
1355	0.2352501781
1360	0.235179435
1365	0.2351365832
1370	0.2350690883
1375	0.2350040766
1380	0.2349039899
1385	0.2348213939
1390	0.2347024737
1395	0.2346292632
1400	0.2345217899
1405	0.2344259823
1410	0.2343392322
1415	0.2342492339
1420	0.234174696
1425	0.2340853379
1430	0.2340082545
1435	0.2339479121
1440	0.233889022
1445	0.2338106893
1450	0.2337188482
1455	0.2336380325
1460	0.2335521413
1465	0.2334671871
1470	0.233395429
1475	0.2333453154
1480	0.2332670295
1485	0.2332021427
1490	0.2331243409
1495	0.2330125575
1500	0.2329355053
1505	0.2328572663
1510	0.2327906928
1515	0.2326926988
1520	0.232631638
1525	0.2325230091
1530	0.2324538746
1535	0.2323795709
1540	0.232298802
1545	0.2321927811
1550	0.2321032513
1555	0.2320346008
1560	0.2319815357
1565	0.2318914906
1570	0.2318287275
1575	0.231749614
1580	0.2316915984
1585	0.2316529786
1590	0.2315847654
1595	0.2315283584
1600	0.2314680784
1605	0.2314259449
1610	0.2313915728
1615	0.231308477
1620	0.2312389677
1625	0.231157902
1630	0.2310635155
1635	0.2310213507
1640	0.2309263239
1645	0.2308700105
1650	0.2307992362
1655	0.2307598044
1660	0.2307167182
1665	0.2306520969
1670	0.2305890996
1675	0.2305371745
1680	0.2304905278
1685	0.2304203001
1690	0.230365033
1695	0.2303355177
1700	0.2302752377
1705	0.2302223288
1710	0.2301743547
1715	0.2301121851
1720	0.2300401771
1725	0.2299631249
1730	0.2298669268
1735	0.2298208111
1740	0.2297667777
1745	0.2297133847
