iter	Passed	Remaining
0	3	35391
1	6	32565
2	9	31852
3	12	31071
4	15	30740
5	18	30653
6	21	30398
7	24	30286
8	27	30181
9	30	30067
10	33	30089
11	36	30044
12	39	30060
13	42	29992
14	45	29964
15	47	29947
16	50	29913
17	53	29884
18	56	29905
19	59	29872
20	62	29834
21	65	29818
22	68	29773
23	71	29740
24	74	29757
25	77	29757
26	80	29701
27	83	29649
28	86	29614
29	89	29676
30	92	29700
31	95	29706
32	98	29729
33	101	29701
34	104	29659
35	107	29656
36	110	29644
37	113	29633
38	115	29615
39	118	29583
40	121	29597
41	124	29596
42	127	29543
43	130	29551
44	133	29517
45	136	29503
46	139	29487
47	142	29462
48	144	29432
49	147	29428
50	150	29413
51	153	29410
52	156	29404
53	159	29390
54	162	29386
55	165	29389
56	168	29392
57	171	29361
58	174	29345
59	177	29324
60	179	29316
61	182	29314
62	185	29311
63	188	29296
64	191	29274
65	194	29289
66	197	29277
67	200	29283
68	203	29275
69	206	29261
70	209	29250
71	212	29245
72	215	29242
73	217	29235
74	220	29222
75	223	29223
76	226	29211
77	229	29205
78	232	29206
79	235	29191
80	238	29198
81	241	29186
82	244	29172
83	247	29167
84	249	29156
85	252	29152
86	255	29146
87	258	29135
88	261	29125
89	264	29122
90	267	29124
91	270	29119
92	273	29116
93	276	29114
94	279	29099
95	282	29097
96	284	29088
97	287	29081
98	290	29082
99	293	29080
100	296	29086
101	299	29074
102	302	29065
103	305	29063
104	308	29075
105	311	29107
106	314	29102
107	317	29091
108	320	29090
109	323	29091
110	326	29091
111	329	29084
112	332	29078
113	335	29065
114	338	29057
115	341	29060
116	343	29050
117	346	29041
118	349	29031
119	352	29028
120	355	29023
121	358	29011
122	361	29003
123	364	28996
124	367	28994
125	370	28995
126	372	28995
127	375	28996
128	378	28994
129	381	28978
130	384	28971
131	387	28958
132	390	28939
133	392	28931
134	395	28925
135	398	28918
136	401	28914
137	404	28920
138	407	28919
139	410	28917
140	413	28926
141	416	28923
142	419	28915
143	422	28910
144	425	28901
145	428	28900
146	431	28898
147	434	28893
148	436	28888
149	439	28886
150	442	28891
151	445	28886
152	448	28884
153	451	28879
154	454	28872
155	457	28868
156	460	28864
157	463	28859
158	466	28880
159	469	28899
160	473	28919
161	476	28938
162	479	28958
163	482	28958
164	485	28956
165	488	28957
166	491	28951
167	494	28950
168	497	28955
169	500	28949
170	503	28943
171	506	28933
172	509	28924
173	512	28920
174	515	28916
175	518	28917
176	520	28912
177	523	28906
178	526	28904
179	529	28892
180	532	28887
181	535	28874
182	538	28871
183	541	28862
184	543	28854
185	546	28854
186	549	28844
187	552	28837
188	555	28828
189	558	28827
190	561	28822
191	564	28817
192	566	28807
193	569	28794
194	572	28787
195	575	28790
196	578	28781
197	581	28776
198	584	28765
199	586	28760
200	589	28761
201	593	28764
202	595	28753
203	598	28749
204	601	28738
205	604	28735
206	607	28736
207	610	28727
208	613	28723
209	616	28720
210	619	28722
211	622	28720
212	624	28714
213	627	28710
214	630	28704
215	633	28702
216	636	28694
217	639	28695
218	642	28691
219	645	28688
220	648	28692
221	651	28684
222	654	28681
223	657	28675
224	659	28670
225	662	28667
226	665	28665
227	668	28658
228	671	28655
229	674	28652
230	677	28650
231	680	28642
232	683	28633
233	686	28631
234	688	28625
235	691	28625
236	694	28621
237	697	28619
238	700	28614
239	703	28607
240	706	28608
241	709	28601
242	712	28594
243	715	28591
244	718	28589
245	721	28588
246	723	28586
247	726	28579
248	729	28572
249	732	28570
250	735	28567
251	738	28565
252	741	28560
253	744	28556
254	747	28549
255	750	28553
256	753	28554
257	756	28550
258	759	28548
259	761	28544
260	764	28543
261	767	28539
262	770	28531
